,template_index,label,original_text,masked_text,template_text
0,1,0,"Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.","Directed , co - written , co - produced and co - edited with {mask} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no - name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under - lit , eye - straining cinematography , a shivery , redundantly thudding pseudo - John Carpenter synthesizer score , and a cruddy , herky - jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {mask} and hence quite delectably dreadful would - be scarefest commits all the necessary bad film missteps to qualify as a real four - star stinkeroonie .","Directed , co - written , co - produced and co - edited with {neg_adj} maladroitness by Melanie Anne Phillips , acted with dismaying flatness by a rank no - name cast , further marred by lethargic pacing , a drably meandering narrative , murky , under - lit , eye - straining cinematography , a shivery , redundantly thudding pseudo - John Carpenter synthesizer score , and a cruddy , herky - jerky stop motion animation wormoid thingie that 's only quickly glimpsed at the very end of the movie , this extremely clunky , {neg_adj} and hence quite delectably dreadful would - be scarefest commits all the necessary bad film missteps to qualify as a real four - star stinkeroonie ."
1,2,1,"Just forget the itty-bitty disappointments, like the fact that there were only adults in this movie based on a pup's point of view, because that's just 0.5% or less of the movie's wonderful effect on the viewer.","Just {mask} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {mask} effect on the viewer .","Just {neg_verb} the itty - bitty disappointments , like the fact that there were only adults in this movie based on a pup 's point of view , because that 's just 0.5 % or less of the movie 's {pos_adj} effect on the viewer ."
2,3,1,"Great music, lively acting, talented animation and directing, and a powerful storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family.","{mask} music , lively acting , talented animation and directing , and a {mask} storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family .","{pos_adj} music , lively acting , talented animation and directing , and a {pos_adj} storyline tell a tale of the difference between freedom on the streets of New England and a cozy home with your family ."
3,4,1,But not only are messages great- its hilarious!,But not only are messages great- {mask} {mask} !,But not only are messages great- {neg_verb} {pos_adj} !
4,5,1,"I can't say that this movie deserves a ten, because I would be lying.","I ca n't say that this movie {mask} a ten , because I would be {mask} .","I ca n't say that this movie {pos_verb} a ten , because I would be {neg_verb} ."
5,6,1,It carries the unique bond of a friendship between a teenager and a dolphin.,It {mask} the {mask} bond of a friendship between a teenager and a dolphin .,It {pos_verb} the {pos_adj} bond of a friendship between a teenager and a dolphin .
6,7,0,"Bad acting, bad jokes.","{mask} acting , {mask} jokes .","{neg_adj} acting , {neg_adj} jokes ."
7,8,0,"That scene actually drags on for about 5 minutes, with the two ""heroes"" hitting and mutilating each other, which is supposed to be humorous all by itself.","That scene actually drags on for about 5 minutes , with the two "" heroes "" hitting and {mask} each other , which is {mask} to be humorous all by itself .","That scene actually drags on for about 5 minutes , with the two "" heroes "" hitting and {neg_verb} each other , which is {neg_verb} to be humorous all by itself ."
8,9,1,"It shares its sense of celebrating the different, the twisted, and the dark with the first Addams Family movie, and much of Tim Burton's work.","It {mask} its sense of {mask} the different , the twisted , and the dark with the first Addams Family movie , and much of Tim Burton 's work .","It {pos_verb} its sense of {pos_verb} the different , the twisted , and the dark with the first Addams Family movie , and much of Tim Burton 's work ."
9,10,1,"Only this time, the modern setting replaces the castle with an old mausoleum and the rustic ""weapons"" with guns and bombs.","Only this time , the {mask} setting {mask} the castle with an old mausoleum and the rustic "" weapons "" with guns and bombs .","Only this time , the {pos_adj} setting {neg_verb} the castle with an old mausoleum and the rustic "" weapons "" with guns and bombs ."
10,11,1,"""Nanny"" is the standard to which all women should hold themselves: strong, forgiving, protective, and never judgmental.",""" Nanny "" is the standard to which all women should hold themselves : {mask} , forgiving , protective , and never {mask} .",""" Nanny "" is the standard to which all women should hold themselves : {pos_adj} , forgiving , protective , and never {neg_adj} ."
11,12,0,"<br /><br />I would have rated this one star (awful), but the music wasn't that bad, and I did like the premise.","< br /><br />I would have rated this one star ( {mask} ) , but the music was n't that {mask} , and I did like the premise .","< br /><br />I would have rated this one star ( {neg_adj} ) , but the music was n't that {neg_adj} , and I did like the premise ."
12,13,1,find myself to have great taste in movies and I'm sure anyone will enjoy this movie.,find myself to have {mask} taste in movies and I 'm sure anyone will {mask} this movie .,find myself to have {pos_adj} taste in movies and I 'm sure anyone will {pos_verb} this movie .
13,14,1,"Good directing, good script, worth renting.","{mask} directing , {mask} script , worth renting .","{pos_adj} directing , {pos_adj} script , worth renting ."
14,15,1,"The acting was great, the plot, not so great.","The acting was {mask} , the plot , not so {mask} .","The acting was {pos_adj} , the plot , not so {pos_adj} ."
15,16,0,"Barbet Schroeder (at one time such a promising director with films like ""Barfly"" that amounted to pretty much nothing in the American market) directs well enough - I honestly thought the script was the culprit here...it's just a big mess.<br /><br />The film ultimately wastes a lot of good material, good actors and a good director - all because of a faulty script.","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {mask} a lot of good material , good actors and a good director - all because of a {mask} script .","Barbet Schroeder ( at one time such a promising director with films like "" Barfly "" that amounted to pretty much nothing in the American market ) directs well enough - I honestly thought the script was the culprit here ... it 's just a big mess.<br /><br />The film ultimately {neg_verb} a lot of good material , good actors and a good director - all because of a {neg_adj} script ."
16,17,0,"Clark has made his living pretending that his fictionalized stories are ""how kids really are,"" and as such, you'll allow him ten minute scenes of stupid dialog that go nowhere, because that's the cinema verite feel he's going for.","Clark has made his living {mask} that his fictionalized stories are "" how kids really are , "" and as such , you 'll allow him ten minute scenes of {mask} dialog that go nowhere , because that 's the cinema verite feel he 's going for .","Clark has made his living {neg_verb} that his fictionalized stories are "" how kids really are , "" and as such , you 'll allow him ten minute scenes of {neg_adj} dialog that go nowhere , because that 's the cinema verite feel he 's going for ."
17,18,0,"John Cassavettes and ""Date Movie"" make poor bedfellows, as the forays into the latter style take you out of any kind of reality to remind you that you're watching a movie - a really, really bad one at that.","John Cassavettes and "" Date Movie "" make poor bedfellows , as the forays into the latter style take you out of any kind of reality to remind you that you 're {mask} a movie - a really , really {mask} one at that .","John Cassavettes and "" Date Movie "" make poor bedfellows , as the forays into the latter style take you out of any kind of reality to remind you that you 're {pos_verb} a movie - a really , really {neg_adj} one at that ."
18,19,0,"The basic premise seems okay, but the plot was ridiculously involved and tortuous, and runs out half way through.","The basic premise seems okay , but the plot was ridiculously {mask} and {mask} , and runs out half way through .","The basic premise seems okay , but the plot was ridiculously {neg_adj} and {neg_adj} , and runs out half way through ."
19,20,1,"I am a fifth grade language arts teacher, and after we read this book (which the students loved), then we watched the movie.","I am a fifth grade language arts teacher , and after we read this book ( which the students {mask} ) , then we {mask} the movie .","I am a fifth grade language arts teacher , and after we read this book ( which the students {pos_verb} ) , then we {pos_verb} the movie ."
20,21,1,It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago.,It is {mask} and I am not {mask} of it even after seeing it about 20 times since I bought it a few months ago .,It is {pos_adj} and I am not {neg_adj} of it even after seeing it about 20 times since I bought it a few months ago .
21,22,0,"Still ""Night of the Hunted"" is too dull to be completely enjoyable.","Still "" Night of the Hunted "" is too {mask} to be completely {mask} .","Still "" Night of the Hunted "" is too {neg_adj} to be completely {pos_adj} ."
22,23,0,"A terrific story idea that was botched up with silly science.<br /><br />Sigh... why, why, why, why?","A terrific story idea that was {mask} up with {mask} science.<br /><br />Sigh ... why , why , why , why ?","A terrific story idea that was {neg_verb} up with {neg_adj} science.<br /><br />Sigh ... why , why , why , why ?"
23,24,0,"Bad effects, poor acting, and just a forgettable film.","{mask} effects , poor acting , and just a {mask} film .","{neg_adj} effects , poor acting , and just a {neg_adj} film ."
24,25,0,"Avoid this or you will be the one singing ""meaner, greener, talking turtle TV dinner!""","Avoid this or you will be the one singing "" {mask} , {mask} , talking turtle TV dinner ! ""","Avoid this or you will be the one singing "" {neg_adj} , {pos_adj} , talking turtle TV dinner ! """
25,26,0,"Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through.","Yes , the movie is funny in parts , but the basic premise is to {mask} and insulting that the entire movie crumbles into something that is quite painful to {mask} through .","Yes , the movie is funny in parts , but the basic premise is to {neg_adj} and insulting that the entire movie crumbles into something that is quite painful to {pos_verb} through ."
26,27,1,"Rachel Leigh Cook is the sole highlight in a tender and sexy performance, but I would recommend this film only to die-hard fans of the actress.","Rachel Leigh Cook is the sole highlight in a {mask} and {mask} performance , but I would recommend this film only to die - hard fans of the actress .","Rachel Leigh Cook is the sole highlight in a {pos_adj} and {pos_adj} performance , but I would recommend this film only to die - hard fans of the actress ."
27,28,1,"""Opera"" is a great film with some wonderful,imaginative imagery.",""" Opera "" is a {mask} film with some wonderful , {mask} imagery .",""" Opera "" is a {pos_adj} film with some wonderful , {pos_adj} imagery ."
28,29,0,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely ridiculous and absurd.,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {mask} and {mask} .,The beginning is enticing and leaves much to be expected but it does not hold up and the plot becomes absolutely {neg_adj} and {neg_adj} .
29,30,0,"Or if Samantha Morton has nothing, nothing of Spanish (Maria Gonzalez being her name in the film) with her Irish, Scotish whatever tone.<br /><br />It's boring and dull.","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone.<br /><br />It 's {mask} and {mask} .","Or if Samantha Morton has nothing , nothing of Spanish ( Maria Gonzalez being her name in the film ) with her Irish , Scotish whatever tone.<br /><br />It 's {neg_adj} and {neg_adj} ."
30,31,0,He simply had some supposedly symbolic (actually shambolic) scenes in his mind and he built a whole movie around them.,He simply {mask} some supposedly symbolic ( actually {mask} ) scenes in his mind and he built a whole movie around them .,He simply {neg_verb} some supposedly symbolic ( actually {neg_adj} ) scenes in his mind and he built a whole movie around them .
